Customer_id,Customer_name,Email,Phone
1,Alice Johnson,alice.johnson@example.com,555123
2,Bob Smith,bob_smith23@mail.com,555456
3,Charlie Evans,cevans@mail.net,
4,Denise O'Connor,denise.o@mail.org,555789
5,Evan Lee,evan.lee@domain.com,555987
6,Fiona Zhang,fiona_zhang@mail.com,
7,George King,gking@mail.com,555101
8,Hannah White,Unknown,5551122
9,Ivan Petrov,ivan.petrov@mail.ru,5551345
10,Jasmine Yu,jasmine.yu@example.com,5551678
11,Karen Adams,k.adams@domain.com,5551234
12,Liam Brown,liam.brown@mail.com,5552234
13,Mia Davis,Unknown,5554567
14,Noah Wilson,noah_w@mail.net,5557890
15,Olivia Miller,olivia.miller@example.com,5558910
16,Paul Garcia,p.garcia@mail.com,
17,Quinn Martinez,quinn.martinez@mail.org,5552222
18,Rachel Kim,rachel.kim@mail.net,5553333
19,Sam Thomas,sam.thomas@mail.com,5554444
20,Tina Lopez,tina.lopez@mail.org,
21,Umar Khan,umar.khan@mail.com,5555555
22,Vera Schmidt,vera.schmidt@mail.de,5556666
23,Will Hernandez,willh@mail.com,
24,Xena Rogers,xena.rogers@mail.com,5557777
25,Yara Costa,yara.costa@mail.br,5558888
26,Zane Parker,zane.parker@mail.com,
27,Amy Long,amy.long@mail.com,5559999
28,Ben Cook,Unknown,5550
29,Cathy Bell,cathy.bell@mail.com,5551111
30,Derek Stone,derek.stone@mail.com,5552223
31,Fay Cooper,Unknown,5554445
32,Grace Nguyen,grace.nguyen@mail.com,5555556
33,Hank Russell,hank.russell@mail.com,
34,Ivy Sanders,ivy.sanders@mail.net,5556667
35,Jackie Owens,jackie.owens@mail.com,5557778
36,Karl Price,karl.price@mail.com,
37,Lena Foster,lena.foster@mail.com,5558889
38,Mark Griffin,Unknown,5559990
39,Nina Hughes,nina.hughes@mail.com,5551
40,Oscar Murphy,oscar.murphy@mail.com,5551010
41,Pamela Young,Unknown,5551212
42,Quincy Bell,quincy.bell@mail.com,5551313
43,Rita Simmons,rita.simmons@mail.com,
44,Steve Dixon,steve.dixon@mail.com,5551414
45,Tracy Bryant,tracy.bryant@mail.com,5551515
46,Uma Foster,Unknown,5551616
47,Victor Ray,victor.ray@mail.com,5551717
48,Wendy Neal,wendy.neal@mail.com,5551818
49,Xander Flynn,xander.flynn@mail.com,
50,Eliot Matthews,eliot.matthews@mail.com,5553334
51,Fay Cooper,Unknown,5554445
52,Grace Nguyen,grace.nguyen@mail.com,5555556
53,Hank Russell,hank.russell@mail.com,
54,Ivy Sanders,ivy.sanders@mail.net,5556667
